timestamp,open,high,low,close,adjusted close,volume,dividend amount
2015-07-17,7.9500,8.0800,7.7500,8.0500,8.0500,236882,0.0000
2015-07-10,8.1300,8.1300,7.6200,7.9200,7.9200,104703,0.0000
2015-07-02,8.2500,8.2901,8.1100,8.1100,8.1100,30271,0.0000
2015-06-26,8.4000,8.4250,8.2100,8.2400,8.2400,36227,0.0000
2015-06-19,7.9300,8.5900,7.8600,8.5800,8.5800,115913,0.0000
2015-06-12,7.9700,8.0000,7.7000,7.8400,7.8400,19076,0.0000
2015-06-05,7.9200,8.3000,7.8500,7.9700,7.9700,108209,0.0000
2015-05-29,7.6300,7.9900,7.3700,7.9500,7.9500,57490,0.0000
2015-05-22,7.5500,7.8600,7.4500,7.6650,7.6650,51788,0.0000
2015-05-15,7.4600,7.6750,7.3200,7.6000,7.6000,93991,0.0000
2015-05-08,7.2710,7.4600,7.1800,7.4600,7.4600,69598,0.0000
2015-05-01,7.4400,7.5060,7.2000,7.2900,7.2900,60246,0.0000
2015-04-24,7.4000,7.6500,7.1800,7.4600,7.4600,143080,0.0000
2015-04-17,7.4900,7.8400,7.2500,7.3899,7.3899,287689,0.0000
2015-04-10,7.5800,7.6900,7.4000,7.4500,7.4500,215761,0.0000
2015-04-02,7.5201,7.6500,7.4600,7.5600,7.5600,128396,0.0000
2015-03-27,7.5500,7.6900,7.5000,7.5500,7.5500,117552,0.0000
2015-03-20,7.6400,7.6700,7.4699,7.5000,7.5000,44916,0.0000
2015-03-13,7.5000,7.5900,7.4300,7.5200,7.5200,33541,0.0000
2015-03-06,7.7301,7.8100,7.4100,7.4900,7.4900,56272,0.0000
2015-02-27,7.7200,7.7660,7.6000,7.7200,7.7200,41779,0.0000
2015-02-20,7.6000,7.7200,7.6000,7.6600,7.6600,26680,0.0000
2015-02-13,7.7000,7.7500,7.6000,7.6400,7.6400,24877,0.0000
2015-02-06,7.7000,7.8500,7.6000,7.7300,7.7300,45579,0.0000
2015-01-30,7.7500,7.7500,7.5700,7.7025,7.7025,27766,0.0000
2015-01-23,7.7700,7.8800,7.6200,7.6500,7.6500,65890,0.0000
2015-01-16,7.6200,7.7800,7.4000,7.7800,7.7800,53054,0.0000
2015-01-09,7.8500,7.9000,7.3700,7.5700,7.5700,152669,0.0000
2015-01-02,7.6490,7.9100,7.4801,7.8500,7.8500,92286,0.0000
2014-12-26,7.5400,7.6500,7.5100,7.5600,7.5600,20326,0.0000
2014-12-19,7.5600,7.5800,7.3000,7.5300,7.5300,106491,0.0000
2014-12-12,7.7600,7.7600,7.2500,7.5400,7.5400,134410,0.0000
2014-12-05,7.8000,7.8500,7.6200,7.7200,7.7200,92982,0.0000
2014-11-28,7.7500,7.8000,7.6710,7.8000,7.8000,29147,0.0000
2014-11-21,7.8000,7.8300,7.7000,7.7500,7.7500,75942,0.0000
2014-11-14,7.7800,7.9200,7.6800,7.8000,7.8000,123959,0.0000
2014-11-07,7.8000,8.0400,7.6101,7.7800,7.7800,94044,0.0000
2014-10-31,7.9000,7.9300,7.6011,7.7800,7.7800,66640,0.0000
2014-10-24,7.9300,8.2300,7.7200,7.9200,7.9200,59386,0.0000
2014-10-17,7.4300,8.1400,7.0700,7.8000,7.8000,149092,0.0000
2014-10-10,7.5000,7.8400,7.3000,7.3600,7.3600,103981,0.0000
2014-10-03,7.7500,8.1100,7.1500,7.4700,7.4700,179344,0.0000
2014-09-26,7.9900,8.0300,7.6600,7.7500,7.7500,253778,0.0000
2014-09-19,8.1200,8.2299,7.8800,7.9900,7.9900,73938,0.0000
2014-09-12,8.3100,8.3400,8.0900,8.0900,8.0900,51619,0.0000
2014-09-05,8.4500,8.4700,8.2500,8.2800,8.2800,73189,0.0000
2014-08-29,8.5000,8.6299,8.3400,8.4500,8.4500,111301,0.0000
2014-08-22,8.5200,8.6835,8.3300,8.4000,8.4000,117341,0.0000
2014-08-15,8.6200,8.7100,8.4800,8.5000,8.5000,117997,0.0000
2014-08-08,8.5000,8.6800,8.4200,8.6800,8.6800,150522,0.0000
2014-08-01,8.6500,8.8000,8.4500,8.4800,8.4800,229034,0.0000
2014-07-25,8.7800,8.9300,8.5300,8.6100,8.6100,119145,0.0000
2014-07-18,8.7100,8.9899,8.6100,8.7500,8.7500,197945,0.0000
2014-07-11,9.0000,9.1000,8.6100,8.7300,8.7300,136188,0.0000
2014-07-03,8.8500,9.1100,8.6600,8.9900,8.9900,127876,0.0000
2014-06-27,8.5500,9.3399,8.3601,8.8000,8.8000,303988,0.0000
2014-06-20,8.6000,8.7500,8.2600,8.2800,8.2800,492202,0.0000
2014-06-13,8.0000,8.7800,7.5700,8.5400,8.5400,1861868,0.0000
2014-06-06,8.8000,8.9400,7.8200,8.0200,8.0200,281756,0.0000
2014-05-30,9.0600,9.0600,8.5300,8.8100,8.8100,137454,0.0000
2014-05-23,9.4900,9.8990,8.5000,8.9900,8.9900,156460,0.0000
2014-05-16,9.2500,9.5000,9.0000,9.3800,9.3800,131556,0.0000
2014-05-09,9.0000,9.3100,8.9500,9.2600,9.2600,126519,0.0000
2014-05-02,8.9900,9.4900,8.9500,9.1000,9.1000,90729,0.0000
2014-04-25,8.9900,9.5000,8.9900,9.0100,9.0100,63559,0.0000
2014-04-17,8.9500,10.1899,8.9500,8.9500,8.9500,97845,0.0000
2014-04-11,8.8000,9.0000,8.5500,8.8900,8.8900,195770,0.0000
